id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
41707900;Big room at Carrer del Carme, center of Barcelona;329298789;Malachi;Ciutat Vella;el Raval;41,38214;2,16762;Private room;43;1;1;08/02/2020;0,03;1;0;0;Exempt
41712193;Alojamiento doble muy cerca del centro;329334193;Lara;Eixample;l'Antiga Esquerra de l'Eixample;41,39151;2,15211;Private room;55;1;0;;;1;0;0;Exempt
6,66515E+17;Spacious, Centrally Located 2-bed/2-bath Penthouse;329609049;Arthur;Eixample;la Dreta de l'Eixample;41,39094653;2,177473062;Entire home/apt;260;3;2;04/09/2022;2;1;243;2;HUTB-009949
41740384;M5 Cool Terrace. Metro 1 min. Center 15' by metro;329638177;Javier;Les Corts;la Maternitat i Sant Ramon;41,37003;2,09963;Entire home/apt;115;1;86;25/08/2022;2,73;1;233;63;HUTB-017783
41855592;Suite de 20 m2  Interior Jacuzzi  Cerca camp Nou;329691667;Natanael;Les Corts;la Maternitat i Sant Ramon;41,37526;2,10141;Private room;45;2;33;01/11/2021;1,05;2;286;3;Exempt
41856949;Big Suite  18m2 with private bathroom;329691667;Natanael;Les Corts;la Maternitat i Sant Ramon;41,37607;2,09952;Private room;34;1;14;16/08/2022;0,45;2;247;7;Exempt
41760234;Habitacion Doble en Alfons X;329903364;Juana;Horta-Guinardó;Can Baró;41,41612;2,16453;Private room;35;3;0;;;1;0;0;Exempt
41981479;APARTM. TO 20 min-pl Cataluña-Ramblas-BARNA CITY;329942422;Julio;Sant Andreu;Sant Andreu;41,44063;2,18734;Entire home/apt;90;4;11;27/08/2022;0,36;2;329;10;HUTB-004956
6,68855E+17;Bonito y soleado apartment al lado del rio y playa;329942422;Julio;Sant Andreu;el Bon Pastor;41,4405489;2,209973645;Private room;84;31;0;;;2;365;0;
50884254;Luxury 3 Bedroom Penthouse with private terrace;329962849;Beatriz;Eixample;Sant Antoni;41,37748;2,16078;Entire home/apt;229;2;10;28/08/2022;0,76;1;347;7;HUTB-003391
41787048;Habitación con dos camas y baño privado;330160731;Aitor;Sants-Montjuïc;la Marina de Port;41,35905;2,13838;Private room;49;1;0;;;1;0;0;Exempt
41787521;Tu Sagrada Familia Home;330163616;Rossana;Eixample;la Sagrada Família;41,40402;2,17918;Private room;150;1;0;;;1;0;0;HUTB180864
41788881;Alojamiento muy cerca de Montjuic;330175089;Vanessa;Sants-Montjuïc;Hostafrancs;41,37295;2,14533;Private room;55;1;0;;;1;0;0;Exempt
